category,content,link,ref-link
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,ภญ.สุภัทรา ระบุว่า ก่อนหน้านี้ อย.เคยชี้แจงไปแล้วว่าข่าวดังกล่าวไม่เป็นความจริง แต่กลับพบว่ามีการนำมาเผยแพร่อีกครั้ง จึงขอย้ำว่าข้อมูลดังกล่,https://cofact.org/article/1zlt4gkjoo3s3,"['www.oryor.com', 'https://news.thaipbs.or.th/content/298074']"
ข้อความหรือข้อความนี้เป็นจริงบางส่วน,จริงครับ,https://cofact.org/article/eh9g8qnoveto,['http://www.thaitribune.org/contents/detail/342?content_id=24535&rand=1518646951']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,วันที่ 31 ธันวาคม 2562 เฟซบุ๊ก Drama-addict  มีการโพสต์เรื่องราวของแม่ค้าขายโรตีรายหนึ่ง ซึ่งมักเจอเด็กมาขอซื้อแป้งโรตีดิบ ๆ แล้วราดนมข้นหวา,https://cofact.org/article/3qn3r3nxpsyi,['https://hilight.kapook.com/view/198114']
บรรณาธิการไม่สามารถตรวจสอบเนื้อหานี้ได้ หรือ เนื้อหานี้ไม่ได้อยู่ในขอบเขตการตรวจสอบของ Cofact,จริงค่ะ,https://cofact.org/article/3w1687ii3e2rx,[]
ข้อความหรือเนื้อหานี้มีข้อมูลลวง, Jessada Denduangboripant ว่าการดื่มโซดากับนมเปรี้ยวนั้นไม่ใช่สูตรการลดน้ำหนักแต่อย่างใด เพราะการดื่มเครื่องดื่มเพียงแค่ 2 อย่างนี้ ไม่ว่าอย,https://cofact.org/article/2fm5bj6a4r9yj,['https://health.kapook.com/view133711.html']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,ไม่มีผลในการลดแคลอรีที่ร่างกายได้รับ เป็นการขับอาหารออกจากทางเดินอาหาร ผลข้างเคียง หากใช้ปริมาณมาก อาจทำให้เกิดอาการท้องเดิน ร่างกายสูญเสียส,https://cofact.org/article/3vj978v1oocbo,['https://www.posttoday.com/life/healthy/595657']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,มีผู้แจ้งว่าเป็นข่าวลวงจากกลุ่มต่อต้านวัคซีน ,https://cofact.org/article/3n4sgq6a3w9qi,['https://factcheck.afp.com/coronavirus-plaguing-china-was-not-created-us-government-agency']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,สิทธิบัตรหมายเลข US7220852B1 คนที่จดคือ Centers for Disease Control หรือ CDC ครับไม่ใช่ CIA ซึ่งเป็นกรมควบคุมโรคของอเมริกาที่จดไว้เพื่อบ่งบอ,https://cofact.org/article/3n4sgq6a3w9qi,"['https://worldwide.espacenet.com/patent/search/family/034042908/publication/CN1867667B?q=CN1867667B', 'https://worldwide.espacenet.com/patent/search/family/034042908/publication/EP1508615A1?q=EP1508615A1%20', 'https://worldwide.espacenet.com/patent/search/family/038049542/publication/US7220852B1?q=US7220852B1%20']"
บรรณาธิการไม่สามารถตรวจสอบเนื้อหานี้ได้ หรือ เนื้อหานี้ไม่ได้อยู่ในขอบเขตการตรวจสอบของ Cofact,ลิงก์ปลายทางพังไปแล้ว,https://cofact.org/article/2gfq33fngdryz,[]
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,1. หน้ากากอนามัยทางการแพทย์ที่ทำจากเส้นใยสังเคราะห์ไม่สามารถนำไปซักแล้วนำมาใช้ใหม่ได้,https://cofact.org/article/2v1kzalthq06u,['https://www.bbc.com/thai/thailand-51311296']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,หน้ากากอนามัยห้ามใช้ซ้ำ!!! เอาไปซัก เอาไปนึ่งก็ไม่ได้,https://cofact.org/article/2v1kzalthq06u,['https://web.facebook.com/DramaAdd/photos/a.10151331013638291/10158415319438291/?type=3&theater']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,อย่าหลงเชื่อ! ‘อ.เจษฎ์’ ยัน ‘ไวรัสโคโรนา’ ถูกตัดต่อพันธุกรรมผสม HIV เป็นอาวุธชีวภาพ ไม่เป็นความจริง,https://cofact.org/article/2z54r6wb0wtgd,['https://www.matichon.co.th/news-monitor/news_1939718']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,สืบเนื่องจากสำนักงานคณะกรรมการอาหารและยา (อย.) พบการขายแผ่นป้าย หรืออุปกรณ์ห้อยคอในรูปแบบต่างๆ ในสื่อสังคมออนไลน์ เช่น ปากกา พัดลม ที่อวดอ้า,https://cofact.org/article/3984fawxlvfbq,['https://news.ch7.com/detail/397728']
ข้อความหรือข้อความนี้เป็นจริงเกือบทั้งหมด,กระท่อมไม่สามารถทำลายเชื้อไวรัสโคโรน่าได้ จากการตรวจสอบจากกรมควบคุมโรค กระทรวงสาธารณสุข,https://cofact.org/article/2iulmvf740kdp,"['https://www.rama.mahidol.ac.th/ramachannel/ondemand/meet-the-doctor_130564/?fbclid=IwAR147EWZaPcAAWZ6GgMgL-sOaq-y8qOa6ehss2lL7D6Z8IfoQznO0r1ICkU', 'https://www.matichon.co.th/social/news_2719086', 'https://www.facebook.com/AntiFakeNewsCenter/photos/a.113638500070332/196005831833598/?type=3&source=57']"
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,"กรมวิทยาศาสตร์การแพทย์ กระทรวงสาธารณสุข เผย ""หน้ากากอนามัย"" ที่ทำจาก ""กระดาษทิชชู่"" ไม่ได้มาตรฐาน",https://cofact.org/article/lw2ynfdy3dm9,['https://www.bangkokbiznews.com/news/detail/868922']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,ผู้เชี่ยวชาญไม่แนะนำเอาทิชชู่มาทำหน้ากากอนามัย ชี้สุดอันตราย ไม่แนะนำอย่างยิ่ง เพราะมีช่องว่างมาก มีคุณสมบัติดูดซับน้ำทำให้อับชื้น มีสารฟอกน,https://cofact.org/article/lw2ynfdy3dm9,['https://www.komchadluek.net/news/regional/420421']
ข้อความหรือข้อความนี้เป็นจริงเกือบทั้งหมด,ตรวจสอบรายชื่อ “เจลแอลกอฮอล์ไม่ได้มาตรฐาน อย.” ใครมีให้หยุดใช้ และส่งคืนผู้ประกอบการ ผู้ผลิต หรือผู้นำเข้า,https://cofact.org/article/4ph8s1kc9zdc,['https://www.js100.com/en/site/post_share/view/85162']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,กระทรวงสาธารณสุข ยืนยัน ยังไม่มีผลการศึกษาที่ยืนยันว่าสูตรสมุนไพรรักษาไวรัสโคโรนาด้วยการใช้ผงอบเชยชงกับน้ำมะนาว เบกกิ้งโซดา และไวน์แดง ดื่มท,https://cofact.org/article/2uxrxffmoim90,['http://news.ch3thailand.com/online-social/100698']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,อ.เจษฎา เด่นดวงบริพันธ์” เตือนระวังข้อมูล “โควิด-19” ลวงโลก ทำคนเข้าใจผิด ทั้งดื่มน้ำอุ่น กินกระเทียม ป้องกันไวรัส เผยอาการไอแห้งๆไม่มีน้ำมู,https://cofact.org/article/365vlqk6jzmun,['https://www.pptvhd36.com/news/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%99%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%99/119724']
ข้อความหรือเนื้อหานี้มีความเห็นส่วนตัว สมมติฐาน ทฤษฎีสมคบคิด ข้อมูลจากงานวิชาการที่ยังไม่มีข้อสรุป การนโน หรือ นั่งเทียนคิดเอา ฯ,การดื่มน้ำอุ่น หรือน้ำร้อน อาจเป็นเพียงการคาดเดาที่เกิดขึ้นกับคนเพียง 1 คนเท่านั้น,https://cofact.org/article/365vlqk6jzmun,[]
ข้อความหรือข้อความนี้เป็นจริงเกือบทั้งหมด,"สาเหตุที่ทำให้เป็นเช่นนี้ สืบเนื่องมาจากการที่ผู้ชายเป็น ""เพศอ่อนแอกว่า"" ในเรื่องของภูมิต้านทานโรค โดยมีข้อสันนิษฐานว่า ผู้หญิงมีภูมิคุ้มกัน",https://cofact.org/article/3spuszwg43u6c,['https://www.bbc.com/thai/international-51688656']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,ข้อมูล สธ. ไร้วิจัยการแพทย์ยัน กลั้นหายใจ 10 วินาที ช่วยเช็กปอดติดไวรัสโควิด-19 ไม่ได้  ต้องเอกซเรย์หาฝ้าขาวในปอด,https://cofact.org/article/1c8ujx4qnz2gr,['https://www.antifakenewscenter.com/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%81%e0%b8%a5%e0%b8%b1%e0%b9%89%e0%b8%99/?fbclid=IwAR0BKs4kYx_6HkMqYSOfYZJ8RSkYS29RYJQj88GNoGii54k4LMWezxE6G_M']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,หลังจากที่มีการแชร์ข้อความโดยอ้างผู้เชี่ยวชาญว่า เราสามารถตรวจสอบปอดด้วยตัวเองได้ ว่าปอดติดเชื้อโคโรนาไวรัสโคโรนาหรือไม่ ด้วยวิธีหายใจเข้าลึ,https://cofact.org/article/1c8ujx4qnz2gr,['https://www.antifakenewscenter.com/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%81%e0%b8%a5%e0%b8%b1%e0%b9%89%e0%b8%99/?fbclid=IwAR0BKs4kYx_6HkMqYSOfYZJ8RSkYS29RYJQj88GNoGii54k4LMWezxE6G_M']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,จากที่มีการแชร์ข้อความถึงวิธีการป้องกันไวรัสโคโรนา ด้วยวิธีดื่มน้ำเยอะๆ เพื่อให้รักษาความชุ่มชื้นของเยื่อเมือกลำคอ ถ้าเยื่อเมือกลำคอแห้ง เชื,https://cofact.org/article/s8971xrnnerz,['http://healthydee.moph.go.th/view_article.php?id=680']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,จากที่มีข่าวว่าเชื้อไวรัสโคโรนาสายพันธุ์ใหม่ สามารถติดเชื้อผ่านดวงตานั้น ขอให้ข้อมูลว่าการติดเชื้อนั้น ไม่สามารถติดต่อได้จากการที่มองตากัน แ,https://cofact.org/article/skyw94xknnjm,['https://www.antifakenewscenter.com/%e0%b9%80%e0%b8%8a%e0%b8%b7%e0%b9%89%e0%b8%ad%e0%b9%84%e0%b8%a7%e0%b8%a3%e0%b8%b1%e0%b8%aa%e0%b9%82%e0%b8%84%e0%b9%82%e0%b8%a3%e0%b8%99%e0%b8%b2%e0%b8%aa%e0%b8%b2%e0%b8%a2%e0%b8%9e%e0%b8%b1%e0%b8%99/?fbclid=IwAR3PWVZRm-fIdJtyLKrSlPkcQDpBUnWCMiNnNW3Yaipp8Mjh1HsBsPp4S5c']
ข้อความหรือข้อความนี้เป็นจริงเกือบทั้งหมด,หลังจากที่มีข่าวว่ามีผู้เสียชีวิตจากการเชื้อไวรัสโคโรนาทุกรายนั้น จากสถิติมีการชี้ให้เห็นว่า ไม่ใช่ทุกรายที่ติดเชื้อแล้วจะเสียชีวิต,https://cofact.org/article/fxyy6iu79gmv,['http://healthydee.moph.go.th/view_article.php?id=679']
ข้อความหรือข้อความนี้เป็นจริงเกือบทั้งหมด,ณ ปัจจุบัน ยังไม่มีข้อมูลว่า มีการติดเชื้อผ่านสารคัดหลั่งในช่องคลอด หรืออสุจิได้ แต่!!! เวลามีเพศสัมพันธ์ ยังไงมันก็มีการกอดจูบนัวเนียแลกเปล,https://cofact.org/article/qce5w62bzh8b,['https://www.facebook.com/DramaAdd/photos/a.411063588290/10158418372728291/?type=3&theater&_rdc=1&_rdr']
ข้อความหรือข้อความนี้เป็นจริงเกือบทั้งหมด,เรื่องต้องรู้เกี่ยวกับเซ็กส์ระหว่างโควิด-19 ระบาด จากบีบีซีไทย,https://cofact.org/article/qce5w62bzh8b,['https://www.bbc.com/thai/international-52122422?fbclid=IwAR34Nf-RWsnqFyxUgExKR8HbR_DWUSUkG5fNzdeMLS6H-xVl5Mhci2Hqw5I']
ข้อความหรือข้อความนี้เป็นจริงเกือบทั้งหมด,คนบางกลุ่มมีโอกาสเสียชีวิตมากกว่า ถ้าติดเชื้อไวรัสโคโรนาสายพันธุ์ใหม่ ได้แก่ ผู้สูงอายุ ผู้ป่วย,https://cofact.org/article/kklydcevvy6z,['https://www.bbc.com/thai/international-51708007?fbclid=IwAR1vW8I9XTLsmGeCDWqYQr2EHcfEYtK_YaSavxK0P2GYgCI6IIyTU3ttg7k']
ข้อความหรือข้อความนี้เป็นจริงบางส่วน,ลักษณะของปอดที่ถูกทำลายมากน้อยขึ้นอยู่กับแต่ละบุคคล ซึ่งไม่ใช่ทุกคนที่จะถูกทำลายอย่างหนัก เฉพาะในผู้ป่วยที่ปอดถูกทำลายมากๆ หรือรุนแรงมากๆ เป,https://cofact.org/article/qfpm9lj52zpn,['https://news.thaipbs.or.th/content/289509']
ข้อความหรือข้อความนี้เป็นจริงบางส่วน,ไวรัสสายพันธุ์ใหม่นี้สร้างความเสียหายต่อร่างกายเราได้อย่างไร บทความจาก bbc.com,https://cofact.org/article/qfpm9lj52zpn,['https://www.bbc.com/thai/51898463']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,อ.เจษฏ์ โพสต์ในเฟสบุคตนเองเกี่ยวกับเรื่องนี้ว่า,https://cofact.org/article/1czf13k72xwya,['https://www.facebook.com/OhISeebyAjarnJess/posts/832114000604988']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,ไม่จริงนะครับ ตอนนี้สถานการณ์ในเมืองอู่ฮั่นยังวุ่นวายกับการแพร่ระบาดของเชื้ออยู่เลย (ถ้าได้ผลจริง คงประกาศกันไปทั่วแล้ว) และไม่มีใครแนะนำวิธ,https://cofact.org/article/2ow2c60jj6r9f,['https://web.facebook.com/OhISeebyAjarnJess/photos/a.281457299003997/806680019815053/?type=3&theater']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,อย.เตือนอย่าเชื่อ ดื่มน้ำต้มกระเทียมรักษาโรคโควิด-19 เผยน้ำกระเทียมใช้บรรเทาอาการกลาก เกลื้อน ย้ำยังไม่มียารักษาโดยตรง,https://cofact.org/article/2ow2c60jj6r9f,['https://www.dailynews.co.th/regional/766474']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,ปัจจุบันยังไม่มีผลิตภัณฑ์ในลักษณะนี้ขึ้นทะเบียนกับ อย. จึงขอเตือนประชาชนอย่าหลงเชื่อ เพราะจะทำให้ขาดความระมัดระวัง ละเลยการปฏิบัติตนที่ถูกต้,https://cofact.org/article/3li624881j1u6,[]
บรรณาธิการไม่สามารถตรวจสอบเนื้อหานี้ได้ หรือ เนื้อหานี้ไม่ได้อยู่ในขอบเขตการตรวจสอบของ Cofact,วารสารทางการแพทย์เดอะ แลนเซต (The Lancet) ได้เผยแพร่ว่า คณะนักวิทยาศาสตร์จากหลายประเทศได้วิเคราะห์พันธุกรรมขงอเชื้อไวรัสโคโรนาสสายพันธ์ใหม่แ,https://cofact.org/article/2g3o23phpxjyk,[]
ข้อความหรือข้อความนี้เป็นจริงเกือบทั้งหมด,รศ.นพ.ทวี โชติพิทยสุนนท์ ผู้ทรงคุณวุฒิคณะกรรมการควบคุมโรคติิดต่อแห่งชาติ กล่าวว่า เป็นเชื้อไวรัสคนละกลุ่มที่ไม่สามารถผสมกันได้,https://cofact.org/article/3knpfse16opa1,['https://www.matichon.co.th/local/quality-life/news_1939452']
ข้อความหรือข้อความนี้เป็นจริงเกือบทั้งหมด,เฟซบุ๊กเพจ “เลี้ยงลูกตามใจหมอ” กล่าวถึงประเด็นนี้ว่า ถ้าคนแพ็กเป็นโรคนี้ แล้วจามลงมาบนพัสดุของเรา ก็อาจมีไวรัสปนเปื้อน และมีชีวิตบนผิวที่แห้,https://cofact.org/article/jffgusv8gia4,['https://www.thairath.co.th/news/society/1757148']
ข้อความหรือข้อความนี้เป็นจริงเกือบทั้งหมด,พฤติกรรมดื่มสุราแก้วเดียวกัน สูบบุหรี่มวนเดียวกัน ก็ติดโควิด 19 ได้เหมือนกัน ถ้าอีกคนป่วย,https://cofact.org/article/2prs2yykv6182,['https://www.thaipost.net/main/detail/59535']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,"สธ.แถลงไทยยังไม่พบผู้ติดเชื้อ ""โควิด-19"" เพิ่ม ยันแพร่เชื้อผ่านละอองฝอยไม่ใช่ทางอากาศ",https://cofact.org/article/246nv5f2icndo,['https://www.tnnthailand.com/content/29584?fbclid=IwAR2GFvw3P6MQYMiMj2fdB5rcDkpYCdu5uNwFlNUhUvcFn2kRX-69ZW02rP0']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,หลังจากที่มีการแชร์ข้อความไวรัสโคโรนาสายพันธุ์ใหม่ แพร่กระจายผ่านทางอากาศ กรมควบคุมโรคขอยืนยันว่าไม่เป็นความจริงแต่อย่างใด,https://cofact.org/article/246nv5f2icndo,['https://web.facebook.com/AntiFakeNewsCenter/photos/a.113638500070332/172313634202818/?type=3&theater']
ข้อความหรือข้อความนี้เป็นจริงเกือบทั้งหมด,WHO อัพเดทข้อมูลใหม่ “โควิด” แพร่เชื้อทางอากาศได้,https://cofact.org/article/246nv5f2icndo,"['https://thestandard.co/coronavirus-is-airborne/', 'https://www.youtube.com/watch?v=YNlRYQCijaE', 'https://www.matichon.co.th/local/quality-life/news_2756411']"
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,นพ.พิเชฐ บัญญัติ เลขาธิการสมาคมเวชกรรมไทย รองอธิบดีกรมวิทยาศาสตร์การแพทย์และอดีตนายกสภาการแพทย์แผนไทย,https://cofact.org/article/29wumopku0yak,['https://www.facebook.com/dr.phichetbanyati/posts/140979184110920?hc_location=ufi']
ข้อความหรือข้อความนี้เป็นจริงบางส่วน,การแพทย์แผนไทยประยุกต์ศิริราช บอกว่าไม่ควรรับประทานเพื่อเสริมสร้างภูมิคุ้มกันหรือป้องกันไข้หวัด ให้ใช้ในกรณีรักษาบรรเทาอาการไข้ ไอ เจ็บคอ หา,https://cofact.org/article/29wumopku0yak,['https://www.facebook.com/DramaAdd/photos/a.10151331013638291/10158489651688291/?type=3&theater']
ข้อความหรือข้อความนี้เป็นจริงบางส่วน,นพ.ปราโมทย์ เสถียรรัตน์ รองอธิบดีกรมการแพทย์แผนไทยและการแพทย์ทางเลือก กล่าวว่าฟ้าทะลายโจรมีฤทธิ์ในการฆ่าเชื้อและยับยั้งการแบ่งตัวของไวรัสได้,https://cofact.org/article/29wumopku0yak,['https://www.bbc.com/thai/thailand-52344875?at_custom4=5ED292C2-8229-11EA-AB22-40AD96E8478F&at_campaign=64&at_custom1=%5Bpost+type%5D&at_medium=custom7&at_custom2=facebook_page&at_custom3=BBC+Thai&fbclid=IwAR0CaeIcgbDqteIP9bCPg36-4wSmDEyVKqrz65XJuykgh2Nf39-Kuf7wE8c']
ข้อความหรือข้อความนี้เป็นจริงบางส่วน,พบฤทธิ์ในการเสริมระบบภูมิคุ้มกันในภาพรวม แต่ไม่เฉพาะเจาะจงต่อเชื้อไวรัสโควิด 19,https://cofact.org/article/29wumopku0yak,['https://www.facebook.com/dtam.moph/photos/a.419482954736180/5813339045350517/']
ข้อความหรือข้อความนี้เป็นจริงบางส่วน,ผลจากการทดลองฟ้าทะลายโจรไม่ควรใช้เสริมภูมิโดยที่ยังไม่ได้ป่วย แต่ถ้ามีเชื้อแล้วสามารถรับประทานได้ตามปริมาณที่เภสัชกรแนะนำ,https://cofact.org/article/29wumopku0yak,['https://www.posttoday.com/social/general/621289?fbclid=IwAR38eZQRyOGYCiDL6CGS9FT0G8a6b-XUUovstlgIFLa3rFd4k39QHLKYSMM']
ข้อความหรือข้อความนี้เป็นจริงบางส่วน,"""ยาฟ้าทะลายโจร""",https://cofact.org/article/29wumopku0yak,['https://www.facebook.com/dtam.moph/photos/a.419482954736180/5813339045350517/']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,แพทย์ รพ.ศิริราช ยืนยัน น้ำอุ่นผสมน้ำส้มสายชู ฆ่าเชื้อโควิด19 ไม่เป็นความจริง รศ.นพ.เชิดชัย นพมณีจำรัสเลิศ รองผู้อำนวยการโรงพยาบาลศิริราช ได,https://cofact.org/article/evpcohpjj1e7,['https://www.springnews.co.th/truth/632212']
ข้อความหรือข้อความนี้เป็นจริงบางส่วน,นายสมบูรณ์ จิตเป็นธม ผู้ช่วยผู้ว่าการ สายออกบัตรธนาคาร ธปท.  กล่าวว่า มีบทวิจัยเชิงวิชาการวิทยาศาสตร์ที่น่าสนใจว่า เชื้อโรคโควิด-19 เวลาที่อ,https://cofact.org/article/3bpoj98r95vqw,['https://www.bangkokbiznews.com/news/detail/869838']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,องค์การอนามัยโลกได้ให้คำตอบไว้ว่า ไวรัสโคโรนาสายพันธุ์ใหม่ หรือที่รู้จักกันในชื่อโควิด-19 ไม่สามารถแพร่เชื้อผ่านยุงได้ ไวรัสชนิดนี้เป็นไวรัส,https://cofact.org/article/3pr3ycdrevwu3,['https://thestandard.co/covid-19-fact-coronavirus-cannot-spread-through-mosquito/']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,ไวรัสมากับฝน เป็นเรื่องไร้สาระมากนะครับ !! อย่าหลงเชื่อ อย่าแชร์ครับ,https://cofact.org/article/muuu6l57q7ux,['https://www.tnnthailand.com/content/30776']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,อุตุพิจิตร รุดแจงข่าวลวงโลก เมฆฝนหอบเชื้อโควิด-19 จากจีน ยันน้ำฝนสะอาดดื่มกินได้,https://cofact.org/article/muuu6l57q7ux,['https://www.banmuang.co.th/news/region/182513']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,อย.เตือน อย่าหลงเชื่อผลิตภัณฑ์ NANO SILVER Sanitizer Water Spray อ้างช่วยฆ่าเชื้อไวรัส และแบคทีเรีย ยันยังไม่ได้รับอนุญาตจาก อย. พร้อมเตรียม,https://cofact.org/article/110yfgvyqqj5d,['https://news.thaipbs.or.th/content/289898?fbclid=IwAR37EnjzzdeKUbZsdrezL4ZIeMXxr9q5cTKUQ0uI8S8fVi7Wx_CtjgR20Es']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,อย. เตือน!! อย่าหลงเชื่อผลิตภัณฑ์ NANO SILVER Sanitizer Water Spray อ้างช่วยฆ่าเชื้อไวรัสและแบคทีเรีย ยันยังไม่ได้รับอนุญาตจาก อย.,https://cofact.org/article/110yfgvyqqj5d,['https://oryor.com/%E0%B8%AD%E0%B8%A2/detail/media_news/1801?fbclid=IwAR3ehr8qOSiduYsLaWphsDOwgcmuR0nHtf3O1m_9IJmoslmJt-Oky8TFzNI']
